Channel	Fiscal Year	Month	Date	Market	Comments
大众点评	FY23	January	44952	058 TJDL	"宜家•东丽商场
有事没事逛逛宜家， 虽然每次吃的比买的多， 哈哈。现在去哪都是一片红红火火的感觉， 这些年家里的很多大大小小的日用家居用品都是从宜家买的， 大道餐桌， 小到水杯碟子台灯电池电钻， 感觉质量还是不错的。"
大众点评	FY23	January	44952	330 CQ	走进宜家， 就会明白为什么说宜家算是年轻人理想的家。好像复刻。去的时候人巨多， 好多小东西都是乱七八糟的， 这种仓库式自助购物唯一的快乐就是不会有人打扰。而且拍照巨巨巨出片。但是对于小件物品的选择性就不是很多。吃的话怎么说好吃的不多， 但是我是冰淇淋必点。小情侣小集美真的超级适合
大众点评	FY23	January	44952	886 SY	"[爱心] 爱生活 爱点评 爱分享[爱心]
宜家家具过年真是热闹，  人山人海。三楼的餐厅也是很多人， 意大利面、肉丸都是心头爱，  必须来一对。 结账区左侧新设立个清仓区，  沙发、餐桌之类的很适合，  有需求的可以顺道看看基本都是5折。"
大众点评	FY23	January	44952	279 NB	"来宁波一日游， 没啥事就逛逛宜家吧hhhh
咱就是说阿呜🦈最近也太🔥了吧[调皮]
餐厅门口还有五个吉祥物， 可可爱爱。
本来打算吃午饭的， 但是人好多就没人要排队。
（后悔了， 鼓楼人更多， 更不想排队了[流泪]）
买了一些香包和娃娃就走了[撇嘴]"
大众点评	FY23	January	44952	058 TJDL	三年疫情原因春节不能走动， 今天疫情终于结束了， 哪哪都是人， 就没有外出旅行， 初五来宜家逛逛， 人也不少呀[流汗]， 宜家的小物件真的是十分吸引人呀， 不过个人最感兴趣的是餐厅[憨笑]， 提拉米苏和小肉丸每次必点， 今年还点了牛排和鸡腿， 味道也不错， 不过今年这咖啡☕️和饮料的味道真是一言难尽[擦汗]
大众点评	FY23	January	44952	459 FS	"离开的时候点了点小吃在就餐区吃 快下班了  一个残疾人保洁大姐一瘸一拐的走过来 穿着宜家的工装 当时就对宜家心生好感  对大姐身残志坚心生敬佩
没想到这位大姐一点也不客气直接请我们去那边儿童玩具桌吃东西 说就餐区要收桌子打扫卫生了 顿时心生不爽了 但还是乖乖配合去了隔壁 
最后要走了 正好准备下班了 我们汽车在地库 直接走扶梯是最近最方便的 正想路过就餐区去扶梯又被这位大姐拦着了号称底下锁门了联系我们走另一边 基于她第一轮表现我决定不听她的直接过去 果然~底下扶梯和门都还开着 其他工作人员都还没开始收拾东"
大众点评	FY23	January	44952	330 CQ	"宜家家居 位于汇流路 我的必逛之地
【环境】装修这些很家居风格
【服务】随处可以找到工作人员改单下单， 现在的定制服务确实也很高级 
【价格】价格偏贵吧， 但是很方便所有的东西， 设计真的很一流， 每次都满载而归， 掏空钱包系列。美食确实也是一绝好吃， 就是留得住你的钱包和胃的地方。"
大众点评	FY23	January	44952	340 WH	"假期闲来无事和闺蜜一起到宜家家居逛一下。乘坐地铁一号线直达竹叶海下车即到。
店内布局清晰明了， 价格标注也清楚， 品种不算很多， 但也基本满足客户需求。"
大众点评	FY23	January	44947	568 XZ	"最具生活气息的家居卖场
入口处目光触及 兔年氛围浓浓哒
宜家在视觉传达展示陈列方面从没让人失望过
每次去逛总令人耳目一新
老妈想换个沙发， 陪老人们去逛
沙发品种还挺多， 布艺真皮应有尽有
沙发一定是要试坐才会有真实感受
交通非常方便， 地铁可以直达！"
大众点评	FY23	January	44947	247 BS	"住在宝山， 家里装修添置都会来看看， 平时周末如果不知道去哪里逛， 那就逛宜家吧。
看中了一个斗柜， 质量还不错， 性价比也还行。阳台小沙发后来放弃了， 重新做了设计。
来宜家还有要打卡的肯定是逛累了吃小餐， 不过好像爱上一次品种少了一点。小东西价格便宜， 值得一逛， 总有收获"
大众点评	FY23	January	44947	581 CS	"还是圣诞之前来的， 感觉宜家的布置和设计真的很八错， 圣诞氛围满满， 美的嘞～
里面有空调， 夏天很凉快， 冬天也不冷， 巴适的嘞～
逛累了可以去里面坐一坐， 躺一躺， 舒服的嘞～
还有很多小玩意儿和很多好吃的， 美味的嘞～"
大众点评	FY23	January	44947	164 WX	"宜家的简洁北欧风， 本人还是蛮喜欢的， 一年总要逛几次， 家里有些大件也是在这里添置的， 平时逛逛呢， 就买一些小物件， 最多买的是毛绒公仔和厨房用品， 质量都不错的。

另外也很喜欢宜家餐厅和1元的蛋筒， 性价比还可以。"
大众点评	FY23	January	44946	802 SYQ	本来逛逛看看家具， 里边超级冷， 都得穿着羽绒服， 现在不知道是因为过年的原因还是什么原因， 饭老难吃了， 我对吃的没太多要求， 但这也太难吃了， 服务态度巨差[吐]哎…我感觉以前挺好的啊， 东西当然还是一样， 就是饭菜真的比之前差太多了， 很少差评， 实在不满意
大众点评	FY23	January	44946	484 SuZ	"[理由]选店理由：
没啥地方逛， 就去宜家玩了会。
[购买]所购商品：
买了一些吃的， 冰激凌很好吃， 里面的吃的都还挺好吃的。
[风格特色]风格特色：
地方很大， 走路可以走很久。很多家具， 玩偶。
一个玩偶八九十块钱。
吃了点东西， 买了巧克力， 和一些玩偶。
[调皮]"
大众点评	FY23	January	44947	833 SZ	"选在工作日来是最好不过的了， 人流量少， 可以很舒心地慢慢逛， 一点也不拥挤。
到饭店就顺便在宜家餐厅吃了， 只能说中国人的胃不太合这种口感， 点的菜都有点踩雷了（汗）， 而且选择也不是特别多， 以后还是乖乖到一楼点些小吃就够了。"
大众点评	FY23	January	44947	581 CS	"[理由]选店理由：
买很多小东西很方便还可以逛很久的街还有很多便宜小吃

[服务]服务细节：
很贴心的很多服务小细节， 带崽去很方便天然游玩场地

[购买]所购商品：
新会员↓app99-5还送香包， 感觉进去每一样你都想拥有， 真心地塑封袋最爱宜家的"
大众点评	FY23	January	44948	340 WH	"去宜家最好是自己开车去， 坐公共交通的话买东西不是很方便， 大包小包拎着太重， 当然可以选择快递。
宜家餐厅价格不是很便宜， 生日的话会员有送蛋糕券。荟聚商场吃的东西还比较多， 吃饭可以选择在这边。
宜家的家具价格其实不是很便宜， 走简约风， 免去搭配烦恼。"
大众点评	FY23	January	44948	856 XH	"很久没去宜家， 布局变了。
曾经的动线是：上二楼， 一路逛到中间， 餐厅补充能量， 然后下楼， 基本是一些大件、原始包装像仓库一样， 近柜台促销， 橱柜样品清货， 买单出， 吃冰淇淋筒。
现在二楼没什么了， 一上楼就是餐厅， 然后少量东西， 下楼都是样品房， 各种商品摆在里面， 大概为了直接体验效果？找东西麻烦， 休息地方不多， 逛下来的感觉就是不能静心挑选， 只想赶快出门。

餐厅倒是多， 楼上一个楼下一个， 冰淇淋小吃又一个， 肉圆三文鱼巧克力又是个区域。
有个儿童娱乐区没开（2个月前）。

说说商品。
图1～2， 这款圣诞巧克力吸引我的地方"
大众点评	FY23	January	44948	644 JA	"宜家在静安寺寸土寸金的地方开了城市店， 路过时不时会逛逛看看新品家居好物。没有特别大型的区域， 迷你版也是尽量小物品居多。

新年活动有点小优惠， 场地里沙发床品只占一部分， 配件还算齐全， 床单窗帘都有， 行走路线稍微有点不流畅。

餐饮层扫码下单， 主食甜品🍮都有， 一层也有轻食小吃， 休息♨️一下靠窗看看夜景🌃"
大众点评	FY23	January	44948	058 TJDL	大年三十去宜家逛一圈， 人很少， 很好逛！买了点小玩意， 还有给孩子的玩具。一套家具玩具做工不错， 也很有份量…。蜡烛有很多香味， 腊托也很多款式， 买点回家过年点上， 很有气氛， 还有很多会员价商品。餐厅吃100反100优惠券。包括餐厅、商店、和购物的券。一张100减10元当天购物的， 餐厅的当天都用不了， 还有外面食品店的券， 60减15， 可以当天用。其他过节没有啥赠送， 一楼有个抽奖， 新会员注册， 老会员好像也可以抽， 没有参与不太知道有啥奖品。
大众点评	FY23	January	44948	802 SYQ	怎么说的 以前的宜家还可以 东西也有新意 一层和二层的食物也还可以 但现在不知道是怎么了 里面的东西挺难难吃的 除了甜品还不错 剩下的真是越来越难吃 家具也是没有什么突破性设计 也不便宜 好多都能网上找平替了 贵不说 质量也不行 也不知道是怎么了
大众点评	FY23	January	44948		自新开张以来， 我们这是第二次到宜家家居了。地处福马路， 位置优越， 一路坐地铁过来直达的， 交通也是很方便了。在自家可以逛上半天呢， 小盆友可以看看小玩具小装饰之类， 大人看看家具以及厨房用品等， 都能有不同的乐趣。逛累了还可以在这里的餐厅吃点意大利面、牛排西餐， 方便快捷[调皮]～
大众点评	FY23	January	44948	802 SYQ	放假前的最后一个周末去的， 原本想逛逛看看， 家里需要添置一些东西。但是人实在是太多太多， 哪哪都是人[尴尬]楼上楼下转了一圈， 什么也没买。饭点了， 准备去餐厅吃点饭吧， 又是摩肩擦踵人堆人， 站着吃一口的地方都没有。赶紧走了， 一楼买点串垫垫肚肚
大众点评	FY23	January	44947	673 HF	第一次逛宜家， 确实跟其他的家装店不太一样， 都说合肥的宜家小， 但是我们已经加快速度逛了， 也逛了三四个小时， 不过确实感觉有点拥挤， 人太多啦！带娃的可以去二楼玩玩， 有个区域简直是小朋友的天堂， 下次来体验一下宜家的吃的
